File,Temp,Logg,Metal,Alpha
btsettl08_t1300_g4.00_z-0.00_en0.00_APOGEE-RAW.txt,1300,4,0,0
btsettl08_t1300_g4.00_z0.50_en0.00_APOGEE-RAW.txt,1300,4,0.5,0
btsettl08_t1300_g4.50_z-0.50_en0.20_APOGEE-RAW.txt,1300,4.5,-0.5,0.2
btsettl08_t1300_g4.50_z-0.00_en0.00_APOGEE-RAW.txt,1300,4.5,0,0
btsettl08_t1300_g4.50_z0.50_en0.00_APOGEE-RAW.txt,1300,4.5,0.5,0
btsettl08_t1300_g5.00_z-0.50_en0.20_APOGEE-RAW.txt,1300,5,-0.5,0.2
btsettl08_t1300_g5.00_z-0.00_en0.00_APOGEE-RAW.txt,1300,5,0,0
btsettl08_t1300_g5.00_z0.50_en0.00_APOGEE-RAW.txt,1300,5,0.5,0
btsettl08_t1300_g5.50_z-0.00_en0.00_APOGEE-RAW.txt,1300,5.5,0,0
btsettl08_t1400_g3.50_z-0.50_en0.20_APOGEE-RAW.txt,1400,3.5,-0.5,0.2
btsettl08_t1400_g3.50_z-0.00_en0.00_APOGEE-RAW.txt,1400,3.5,0,0
btsettl08_t1400_g3.50_z0.50_en0.00_APOGEE-RAW.txt,1400,3.5,0.5,0
btsettl08_t1400_g4.00_z-0.50_en0.20_APOGEE-RAW.txt,1400,4,-0.5,0.2
btsettl08_t1400_g4.00_z-0.00_en0.00_APOGEE-RAW.txt,1400,4,0,0
btsettl08_t1400_g4.00_z0.50_en0.00_APOGEE-RAW.txt,1400,4,0.5,0
btsettl08_t1400_g4.50_z-0.50_en0.20_APOGEE-RAW.txt,1400,4.5,-0.5,0.2
btsettl08_t1400_g4.50_z-0.00_en0.00_APOGEE-RAW.txt,1400,4.5,0,0
btsettl08_t1400_g4.50_z0.50_en0.00_APOGEE-RAW.txt,1400,4.5,0.5,0
btsettl08_t1400_g5.00_z-0.50_en0.20_APOGEE-RAW.txt,1400,5,-0.5,0.2
btsettl08_t1400_g5.00_z-0.00_en0.00_APOGEE-RAW.txt,1400,5,0,0
btsettl08_t1400_g5.00_z0.50_en0.00_APOGEE-RAW.txt,1400,5,0.5,0
btsettl08_t1400_g5.50_z-0.00_en0.00_APOGEE-RAW.txt,1400,5.5,0,0
btsettl08_t1500_g3.50_z-0.50_en0.20_APOGEE-RAW.txt,1500,3.5,-0.5,0.2
btsettl08_t1500_g3.50_z-0.00_en0.00_APOGEE-RAW.txt,1500,3.5,0,0
btsettl08_t1500_g3.50_z0.50_en0.00_APOGEE-RAW.txt,1500,3.5,0.5,0
btsettl08_t1500_g4.00_z-0.50_en0.20_APOGEE-RAW.txt,1500,4,-0.5,0.2
btsettl08_t1500_g4.00_z-0.00_en0.00_APOGEE-RAW.txt,1500,4,0,0
btsettl08_t1500_g4.00_z0.50_en0.00_APOGEE-RAW.txt,1500,4,0.5,0
btsettl08_t1500_g4.50_z-0.50_en0.20_APOGEE-RAW.txt,1500,4.5,-0.5,0.2
btsettl08_t1500_g4.50_z-0.00_en0.00_APOGEE-RAW.txt,1500,4.5,0,0
btsettl08_t1500_g4.50_z0.50_en0.00_APOGEE-RAW.txt,1500,4.5,0.5,0
btsettl08_t1500_g5.00_z-0.50_en0.20_APOGEE-RAW.txt,1500,5,-0.5,0.2
btsettl08_t1500_g5.00_z-0.00_en0.00_APOGEE-RAW.txt,1500,5,0,0
btsettl08_t1500_g5.00_z0.50_en0.00_APOGEE-RAW.txt,1500,5,0.5,0
btsettl08_t1500_g5.50_z-0.00_en0.00_APOGEE-RAW.txt,1500,5.5,0,0
btsettl08_t1600_g3.50_z-0.50_en0.20_APOGEE-RAW.txt,1600,3.5,-0.5,0.2
btsettl08_t1600_g3.50_z-0.00_en0.00_APOGEE-RAW.txt,1600,3.5,0,0
btsettl08_t1600_g3.50_z0.50_en0.00_APOGEE-RAW.txt,1600,3.5,0.5,0
btsettl08_t1600_g4.00_z-0.50_en0.20_APOGEE-RAW.txt,1600,4,-0.5,0.2
btsettl08_t1600_g4.00_z-0.00_en0.00_APOGEE-RAW.txt,1600,4,0,0
btsettl08_t1600_g4.00_z0.50_en0.00_APOGEE-RAW.txt,1600,4,0.5,0
btsettl08_t1600_g4.50_z-0.50_en0.20_APOGEE-RAW.txt,1600,4.5,-0.5,0.2
btsettl08_t1600_g4.50_z-0.00_en0.00_APOGEE-RAW.txt,1600,4.5,0,0
btsettl08_t1600_g4.50_z0.50_en0.00_APOGEE-RAW.txt,1600,4.5,0.5,0
btsettl08_t1600_g5.00_z-0.50_en0.20_APOGEE-RAW.txt,1600,5,-0.5,0.2
