File,Temp,Logg,Metal,Alpha
lte020.0-4.5-0.0a+0.0.BT-Settl.spec.7,2000,4.5,0,0
lte020.0-5.0-0.0a+0.0.BT-Settl.spec.7,2000,5,0,0
lte020.0-5.5-0.0a+0.0.BT-Settl.spec.7,2000,5.5,0,0
lte021.0-2.5-0.0a+0.0.BT-Settl.spec.7,2100,2.5,0,0
lte021.0-3.0-0.0a+0.0.BT-Settl.spec.7,2100,3,0,0
lte021.0-3.5-0.0a+0.0.BT-Settl.spec.7,2100,3.5,0,0
lte021.0-4.0-0.0a+0.0.BT-Settl.spec.7,2100,4,0,0
lte021.0-4.5-0.0a+0.0.BT-Settl.spec.7,2100,4.5,0,0
lte021.0-5.0-0.0a+0.0.BT-Settl.spec.7,2100,5,0,0
lte021.0-5.5-0.0a+0.0.BT-Settl.spec.7,2100,5.5,0,0
lte022.0-2.5-0.0a+0.0.BT-Settl.spec.7,2200,2.5,0,0
lte022.0-3.0-0.0a+0.0.BT-Settl.spec.7,2200,3,0,0
lte022.0-3.5-0.0a+0.0.BT-Settl.spec.7,2200,3.5,0,0
lte022.0-4.0-0.0a+0.0.BT-Settl.spec.7,2200,4,0,0
lte022.0-4.5-0.0a+0.0.BT-Settl.spec.7,2200,4.5,0,0
lte022.0-5.0-0.0a+0.0.BT-Settl.spec.7,2200,5,0,0
lte022.0-5.5-0.0a+0.0.BT-Settl.spec.7,2200,5.5,0,0
lte023.0-2.5-0.0a+0.0.BT-Settl.spec.7,2300,2.5,0,0
lte023.0-3.0-0.0a+0.0.BT-Settl.spec.7,2300,3,0,0
lte023.0-3.5-0.0a+0.0.BT-Settl.spec.7,2300,3.5,0,0
lte023.0-4.0-0.0a+0.0.BT-Settl.spec.7,2300,4,0,0
lte023.0-4.5-0.0a+0.0.BT-Settl.spec.7,2300,4.5,0,0
lte023.0-5.0-0.0a+0.0.BT-Settl.spec.7,2300,5,0,0
lte023.0-5.5-0.0a+0.0.BT-Settl.spec.7,2300,5.5,0,0
lte024.0-2.5-0.0a+0.0.BT-Settl.spec.7,2400,2.5,0,0
lte024.0-3.0-0.0a+0.0.BT-Settl.spec.7,2400,3,0,0
lte024.0-3.5-0.0a+0.0.BT-Settl.spec.7,2400,3.5,0,0
lte024.0-4.0-0.0a+0.0.BT-Settl.spec.7,2400,4,0,0
lte024.0-4.5-0.0a+0.0.BT-Settl.spec.7,2400,4.5,0,0
lte024.0-5.0-0.0a+0.0.BT-Settl.spec.7,2400,5,0,0
lte024.0-5.5-0.0a+0.0.BT-Settl.spec.7,2400,5.5,0,0
lte025.0-2.5-0.0a+0.0.BT-Settl.spec.7,2500,2.5,0,0
lte025.0-3.0-0.0a+0.0.BT-Settl.spec.7,2500,3,0,0
lte025.0-3.5-0.0a+0.0.BT-Settl.spec.7,2500,3.5,0,0
lte025.0-4.0-0.0a+0.0.BT-Settl.spec.7,2500,4,0,0
lte025.0-4.5-0.0a+0.0.BT-Settl.spec.7,2500,4.5,0,0
lte025.0-5.0-0.0a+0.0.BT-Settl.spec.7,2500,5,0,0
lte025.0-5.5-0.0a+0.0.BT-Settl.spec.7,2500,5.5,0,0
lte026.0-2.5-0.0a+0.0.BT-Settl.spec.7,2600,2.5,0,0
lte026.0-3.0-0.0a+0.0.BT-Settl.spec.7,2600,3,0,0
lte026.0-3.5-0.0a+0.0.BT-Settl.spec.7,2600,3.5,0,0
lte026.0-4.0-0.0a+0.0.BT-Settl.spec.7,2600,4,0,0
lte026.0-4.5-0.0a+0.0.BT-Settl.spec.7,2600,4.5,0,0
lte026.0-5.0-0.0a+0.0.BT-Settl.spec.7,2600,5,0,0
lte026.0-5.5-0.0a+0.0.BT-Settl.spec.7,2600,5.5,0,0
lte027.0-2.5-0.0a+0.0.BT-Settl.spec.7,2700,2.5,0,0
lte027.0-3.0-0.0a+0.0.BT-Settl.spec.7,2700,3,0,0
lte027.0-3.5-0.0a+0.0.BT-Settl.spec.7,2700,3.5,0,0
lte027.0-4.0-0.0a+0.0.BT-Settl.spec.7,2700,4,0,0
lte027.0-4.5-0.0a+0.0.BT-Settl.spec.7,2700,4.5,0,0
lte027.0-5.0-0.0a+0.0.BT-Settl.spec.7,2700,5,0,0
lte027.0-5.5-0.0a+0.0.BT-Settl.spec.7,2700,5.5,0,0
lte028.0-2.5-0.0a+0.0.BT-Settl.spec.7,2800,2.5,0,0
lte028.0-3.0-0.0a+0.0.BT-Settl.spec.7,2800,3,0,0
lte028.0-3.5-0.0a+0.0.BT-Settl.spec.7,2800,3.5,0,0
lte028.0-4.0-0.0a+0.0.BT-Settl.spec.7,2800,4,0,0
lte028.0-4.5-0.0a+0.0.BT-Settl.spec.7,2800,4.5,0,0
lte028.0-5.0-0.0a+0.0.BT-Settl.spec.7,2800,5,0,0
lte028.0-5.5-0.0a+0.0.BT-Settl.spec.7,2800,5.5,0,0
lte029.0-2.5-0.0a+0.0.BT-Settl.spec.7,2900,2.5,0,0
lte029.0-3.0-0.0a+0.0.BT-Settl.spec.7,2900,3,0,0
lte029.0-3.5-0.0a+0.0.BT-Settl.spec.7,2900,3.5,0,0
lte029.0-4.0-0.0a+0.0.BT-Settl.spec.7,2900,4,0,0
lte029.0-4.5-0.0a+0.0.BT-Settl.spec.7,2900,4.5,0,0
lte029.0-5.0-0.0a+0.0.BT-Settl.spec.7,2900,5,0,0
lte029.0-5.5-0.0a+0.0.BT-Settl.spec.7,2900,5.5,0,0
lte030.0-2.5-0.0a+0.0.BT-Settl.spec.7,3000,2.5,0,0
lte030.0-3.0-0.0a+0.0.BT-Settl.spec.7,3000,3,0,0
lte030.0-3.5-0.0a+0.0.BT-Settl.spec.7,3000,3.5,0,0
lte030.0-4.0-0.0a+0.0.BT-Settl.spec.7,3000,4,0,0
lte030.0-4.5-0.0a+0.0.BT-Settl.spec.7,3000,4.5,0,0
lte030.0-5.0-0.0a+0.0.BT-Settl.spec.7,3000,5,0,0
lte030.0-5.5-0.0a+0.0.BT-Settl.spec.7,3000,5.5,0,0
lte031.0-2.5-0.0a+0.0.BT-Settl.spec.7,3100,2.5,0,0
lte031.0-3.0-0.0a+0.0.BT-Settl.spec.7,3100,3,0,0
lte031.0-3.5-0.0a+0.0.BT-Settl.spec.7,3100,3.5,0,0
lte031.0-4.0-0.0a+0.0.BT-Settl.spec.7,3100,4,0,0
lte031.0-4.5-0.0a+0.0.BT-Settl.spec.7,3100,4.5,0,0
lte031.0-5.0-0.0a+0.0.BT-Settl.spec.7,3100,5,0,0
lte031.0-5.5-0.0a+0.0.BT-Settl.spec.7,3100,5.5,0,0
lte032.0-2.5-0.0a+0.0.BT-Settl.spec.7,3200,2.5,0,0
lte032.0-3.0-0.0a+0.0.BT-Settl.spec.7,3200,3,0,0
lte032.0-3.5-0.0a+0.0.BT-Settl.spec.7,3200,3.5,0,0
lte032.0-4.0-0.0a+0.0.BT-Settl.spec.7,3200,4,0,0
lte032.0-4.5-0.0a+0.0.BT-Settl.spec.7,3200,4.5,0,0
lte032.0-5.0-0.0a+0.0.BT-Settl.spec.7,3200,5,0,0
lte032.0-5.5-0.0a+0.0.BT-Settl.spec.7,3200,5.5,0,0
lte033.0-2.5-0.0a+0.0.BT-Settl.spec.7,3300,2.5,0,0
lte033.0-3.0-0.0a+0.0.BT-Settl.spec.7,3300,3,0,0
lte033.0-3.5-0.0a+0.0.BT-Settl.spec.7,3300,3.5,0,0
lte033.0-4.0-0.0a+0.0.BT-Settl.spec.7,3300,4,0,0
lte033.0-4.5-0.0a+0.0.BT-Settl.spec.7,3300,4.5,0,0
lte033.0-5.0-0.0a+0.0.BT-Settl.spec.7,3300,5,0,0
lte033.0-5.5-0.0a+0.0.BT-Settl.spec.7,3300,5.5,0,0
lte034.0-2.5-0.0a+0.0.BT-Settl.spec.7,3400,2.5,0,0
lte034.0-3.0-0.0a+0.0.BT-Settl.spec.7,3400,3,0,0
lte034.0-3.5-0.0a+0.0.BT-Settl.spec.7,3400,3.5,0,0
lte034.0-4.0-0.0a+0.0.BT-Settl.spec.7,3400,4,0,0
lte034.0-4.5-0.0a+0.0.BT-Settl.spec.7,3400,4.5,0,0
lte034.0-5.0-0.0a+0.0.BT-Settl.spec.7,3400,5,0,0
lte034.0-5.5-0.0a+0.0.BT-Settl.spec.7,3400,5.5,0,0
lte035.0-2.5-0.0a+0.0.BT-Settl.spec.7,3500,2.5,0,0
lte035.0-3.0-0.0a+0.0.BT-Settl.spec.7,3500,3,0,0
lte035.0-3.5-0.0a+0.0.BT-Settl.spec.7,3500,3.5,0,0
lte035.0-4.0-0.0a+0.0.BT-Settl.spec.7,3500,4,0,0
lte035.0-4.5-0.0a+0.0.BT-Settl.spec.7,3500,4.5,0,0
lte035.0-5.0-0.0a+0.0.BT-Settl.spec.7,3500,5,0,0
lte035.0-5.5-0.0a+0.0.BT-Settl.spec.7,3500,5.5,0,0
lte036.0-2.5-0.0a+0.0.BT-Settl.spec.7,3600,2.5,0,0
lte036.0-3.0-0.0a+0.0.BT-Settl.spec.7,3600,3,0,0
lte036.0-3.5-0.0a+0.0.BT-Settl.spec.7,3600,3.5,0,0
lte036.0-4.0-0.0a+0.0.BT-Settl.spec.7,3600,4,0,0
lte036.0-4.5-0.0a+0.0.BT-Settl.spec.7,3600,4.5,0,0
lte036.0-5.0-0.0a+0.0.BT-Settl.spec.7,3600,5,0,0
lte036.0-5.5-0.0a+0.0.BT-Settl.spec.7,3600,5.5,0,0
lte037.0-2.5-0.0a+0.0.BT-Settl.spec.7,3700,2.5,0,0
lte037.0-3.0-0.0a+0.0.BT-Settl.spec.7,3700,3,0,0
lte037.0-3.5-0.0a+0.0.BT-Settl.spec.7,3700,3.5,0,0
lte037.0-4.0-0.0a+0.0.BT-Settl.spec.7,3700,4,0,0
lte037.0-4.5-0.0a+0.0.BT-Settl.spec.7,3700,4.5,0,0
lte037.0-5.0-0.0a+0.0.BT-Settl.spec.7,3700,5,0,0
lte037.0-5.5-0.0a+0.0.BT-Settl.spec.7,3700,5.5,0,0
lte038.0-2.5-0.0a+0.0.BT-Settl.spec.7,3800,2.5,0,0
lte038.0-3.0-0.0a+0.0.BT-Settl.spec.7,3800,3,0,0
lte038.0-3.5-0.0a+0.0.BT-Settl.spec.7,3800,3.5,0,0
lte038.0-4.0-0.0a+0.0.BT-Settl.spec.7,3800,4,0,0
lte038.0-4.5-0.0a+0.0.BT-Settl.spec.7,3800,4.5,0,0
lte038.0-5.0-0.0a+0.0.BT-Settl.spec.7,3800,5,0,0
lte038.0-5.5-0.0a+0.0.BT-Settl.spec.7,3800,5.5,0,0
lte039.0-2.5-0.0a+0.0.BT-Settl.spec.7,3900,2.5,0,0
lte039.0-3.0-0.0a+0.0.BT-Settl.spec.7,3900,3,0,0
lte039.0-3.5-0.0a+0.0.BT-Settl.spec.7,3900,3.5,0,0
lte039.0-4.0-0.0a+0.0.BT-Settl.spec.7,3900,4,0,0
lte039.0-4.5-0.0a+0.0.BT-Settl.spec.7,3900,4.5,0,0
lte039.0-5.0-0.0a+0.0.BT-Settl.spec.7,3900,5,0,0
lte039.0-5.5-0.0a+0.0.BT-Settl.spec.7,3900,5.5,0,0
lte040.0-2.5-0.0a+0.0.BT-Settl.spec.7,4000,2.5,0,0
lte040.0-3.0-0.0a+0.0.BT-Settl.spec.7,4000,3,0,0
lte040.0-3.5-0.0a+0.0.BT-Settl.spec.7,4000,3.5,0,0
lte040.0-4.0-0.0a+0.0.BT-Settl.spec.7,4000,4,0,0
lte040.0-4.5-0.0a+0.0.BT-Settl.spec.7,4000,4.5,0,0
lte040.0-5.0-0.0a+0.0.BT-Settl.spec.7,4000,5,0,0
lte040.0-5.5-0.0a+0.0.BT-Settl.spec.7,4000,5.5,0,0
lte041.0-2.5-0.0a+0.0.BT-Settl.spec.7,4100,2.5,0,0
lte041.0-3.0-0.0a+0.0.BT-Settl.spec.7,4100,3,0,0
lte041.0-3.5-0.0a+0.0.BT-Settl.spec.7,4100,3.5,0,0
lte041.0-4.0-0.0a+0.0.BT-Settl.spec.7,4100,4,0,0
lte041.0-4.5-0.0a+0.0.BT-Settl.spec.7,4100,4.5,0,0
lte041.0-5.0-0.0a+0.0.BT-Settl.spec.7,4100,5,0,0
lte041.0-5.5-0.0a+0.0.BT-Settl.spec.7,4100,5.5,0,0
lte042.0-2.5-0.0a+0.0.BT-Settl.spec.7,4200,2.5,0,0
lte042.0-3.0-0.0a+0.0.BT-Settl.spec.7,4200,3,0,0
lte042.0-3.5-0.0a+0.0.BT-Settl.spec.7,4200,3.5,0,0
lte042.0-4.0-0.0a+0.0.BT-Settl.spec.7,4200,4,0,0
lte042.0-4.5-0.0a+0.0.BT-Settl.spec.7,4200,4.5,0,0
lte042.0-5.0-0.0a+0.0.BT-Settl.spec.7,4200,5,0,0
lte042.0-5.5-0.0a+0.0.BT-Settl.spec.7,4200,5.5,0,0
lte043.0-2.5-0.0a+0.0.BT-Settl.spec.7,4300,2.5,0,0
lte043.0-3.0-0.0a+0.0.BT-Settl.spec.7,4300,3,0,0
lte043.0-3.5-0.0a+0.0.BT-Settl.spec.7,4300,3.5,0,0
lte043.0-4.0-0.0a+0.0.BT-Settl.spec.7,4300,4,0,0
lte043.0-4.5-0.0a+0.0.BT-Settl.spec.7,4300,4.5,0,0
lte043.0-5.0-0.0a+0.0.BT-Settl.spec.7,4300,5,0,0
lte043.0-5.5-0.0a+0.0.BT-Settl.spec.7,4300,5.5,0,0
lte044.0-2.5-0.0a+0.0.BT-Settl.spec.7,4400,2.5,0,0
lte044.0-3.0-0.0a+0.0.BT-Settl.spec.7,4400,3,0,0
lte044.0-3.5-0.0a+0.0.BT-Settl.spec.7,4400,3.5,0,0
lte044.0-4.0-0.0a+0.0.BT-Settl.spec.7,4400,4,0,0
lte044.0-4.5-0.0a+0.0.BT-Settl.spec.7,4400,4.5,0,0
lte044.0-5.0-0.0a+0.0.BT-Settl.spec.7,4400,5,0,0
lte044.0-5.5-0.0a+0.0.BT-Settl.spec.7,4400,5.5,0,0
lte045.0-2.5-0.0a+0.0.BT-Settl.spec.7,4500,2.5,0,0
lte045.0-3.0-0.0a+0.0.BT-Settl.spec.7,4500,3,0,0
lte045.0-3.5-0.0a+0.0.BT-Settl.spec.7,4500,3.5,0,0
lte045.0-4.0-0.0a+0.0.BT-Settl.spec.7,4500,4,0,0
lte045.0-4.5-0.0a+0.0.BT-Settl.spec.7,4500,4.5,0,0
lte045.0-5.0-0.0a+0.0.BT-Settl.spec.7,4500,5,0,0
lte045.0-5.5-0.0a+0.0.BT-Settl.spec.7,4500,5.5,0,0
lte046.0-2.5-0.0a+0.0.BT-Settl.spec.7,4600,2.5,0,0
lte046.0-3.0-0.0a+0.0.BT-Settl.spec.7,4600,3,0,0
lte046.0-3.5-0.0a+0.0.BT-Settl.spec.7,4600,3.5,0,0
lte046.0-4.0-0.0a+0.0.BT-Settl.spec.7,4600,4,0,0
lte046.0-4.5-0.0a+0.0.BT-Settl.spec.7,4600,4.5,0,0
lte046.0-5.0-0.0a+0.0.BT-Settl.spec.7,4600,5,0,0
lte046.0-5.5-0.0a+0.0.BT-Settl.spec.7,4600,5.5,0,0
lte047.0-2.5-0.0a+0.0.BT-Settl.spec.7,4700,2.5,0,0
lte047.0-3.0-0.0a+0.0.BT-Settl.spec.7,4700,3,0,0
lte047.0-3.5-0.0a+0.0.BT-Settl.spec.7,4700,3.5,0,0
lte047.0-4.0-0.0a+0.0.BT-Settl.spec.7,4700,4,0,0
lte047.0-4.5-0.0a+0.0.BT-Settl.spec.7,4700,4.5,0,0
lte047.0-5.0-0.0a+0.0.BT-Settl.spec.7,4700,5,0,0
lte047.0-5.5-0.0a+0.0.BT-Settl.spec.7,4700,5.5,0,0
lte048.0-2.5-0.0a+0.0.BT-Settl.spec.7,4800,2.5,0,0
lte048.0-3.0-0.0a+0.0.BT-Settl.spec.7,4800,3,0,0
lte048.0-3.5-0.0a+0.0.BT-Settl.spec.7,4800,3.5,0,0
lte048.0-4.0-0.0a+0.0.BT-Settl.spec.7,4800,4,0,0
lte048.0-4.5-0.0a+0.0.BT-Settl.spec.7,4800,4.5,0,0
lte048.0-5.0-0.0a+0.0.BT-Settl.spec.7,4800,5,0,0
lte048.0-5.5-0.0a+0.0.BT-Settl.spec.7,4800,5.5,0,0
lte049.0-2.5-0.0a+0.0.BT-Settl.spec.7,4900,2.5,0,0
lte049.0-3.0-0.0a+0.0.BT-Settl.spec.7,4900,3,0,0
lte049.0-3.5-0.0a+0.0.BT-Settl.spec.7,4900,3.5,0,0
lte049.0-4.0-0.0a+0.0.BT-Settl.spec.7,4900,4,0,0
lte049.0-4.5-0.0a+0.0.BT-Settl.spec.7,4900,4.5,0,0
lte049.0-5.0-0.0a+0.0.BT-Settl.spec.7,4900,5,0,0
lte049.0-5.5-0.0a+0.0.BT-Settl.spec.7,4900,5.5,0,0
lte050.0-2.5-0.0a+0.0.BT-Settl.spec.7,5000,2.5,0,0
lte050.0-3.0-0.0a+0.0.BT-Settl.spec.7,5000,3,0,0
lte050.0-3.5-0.0a+0.0.BT-Settl.spec.7,5000,3.5,0,0
lte050.0-4.0-0.0a+0.0.BT-Settl.spec.7,5000,4,0,0
lte050.0-4.5-0.0a+0.0.BT-Settl.spec.7,5000,4.5,0,0
lte050.0-5.0-0.0a+0.0.BT-Settl.spec.7,5000,5,0,0
lte050.0-5.5-0.0a+0.0.BT-Settl.spec.7,5000,5.5,0,0
lte051.0-2.5-0.0a+0.0.BT-Settl.spec.7,5100,2.5,0,0
lte051.0-3.0-0.0a+0.0.BT-Settl.spec.7,5100,3,0,0
lte051.0-3.5-0.0a+0.0.BT-Settl.spec.7,5100,3.5,0,0
lte051.0-4.0-0.0a+0.0.BT-Settl.spec.7,5100,4,0,0
lte051.0-4.5-0.0a+0.0.BT-Settl.spec.7,5100,4.5,0,0
lte051.0-5.0-0.0a+0.0.BT-Settl.spec.7,5100,5,0,0
lte051.0-5.5-0.0a+0.0.BT-Settl.spec.7,5100,5.5,0,0
lte052.0-2.5-0.0a+0.0.BT-Settl.spec.7,5200,2.5,0,0
lte052.0-3.0-0.0a+0.0.BT-Settl.spec.7,5200,3,0,0
lte052.0-3.5-0.0a+0.0.BT-Settl.spec.7,5200,3.5,0,0
lte052.0-4.0-0.0a+0.0.BT-Settl.spec.7,5200,4,0,0
lte052.0-4.5-0.0a+0.0.BT-Settl.spec.7,5200,4.5,0,0
lte052.0-5.0-0.0a+0.0.BT-Settl.spec.7,5200,5,0,0
lte052.0-5.5-0.0a+0.0.BT-Settl.spec.7,5200,5.5,0,0
lte053.0-2.5-0.0a+0.0.BT-Settl.spec.7,5300,2.5,0,0
lte053.0-3.0-0.0a+0.0.BT-Settl.spec.7,5300,3,0,0
lte053.0-3.5-0.0a+0.0.BT-Settl.spec.7,5300,3.5,0,0
lte053.0-4.0-0.0a+0.0.BT-Settl.spec.7,5300,4,0,0
lte053.0-4.5-0.0a+0.0.BT-Settl.spec.7,5300,4.5,0,0
lte053.0-5.0-0.0a+0.0.BT-Settl.spec.7,5300,5,0,0
lte053.0-5.5-0.0a+0.0.BT-Settl.spec.7,5300,5.5,0,0
lte054.0-2.5-0.0a+0.0.BT-Settl.spec.7,5400,2.5,0,0
lte054.0-3.0-0.0a+0.0.BT-Settl.spec.7,5400,3,0,0
lte054.0-3.5-0.0a+0.0.BT-Settl.spec.7,5400,3.5,0,0
lte054.0-4.0-0.0a+0.0.BT-Settl.spec.7,5400,4,0,0
lte054.0-4.5-0.0a+0.0.BT-Settl.spec.7,5400,4.5,0,0
lte054.0-5.0-0.0a+0.0.BT-Settl.spec.7,5400,5,0,0
lte054.0-5.5-0.0a+0.0.BT-Settl.spec.7,5400,5.5,0,0
lte055.0-2.5-0.0a+0.0.BT-Settl.spec.7,5500,2.5,0,0
lte055.0-3.0-0.0a+0.0.BT-Settl.spec.7,5500,3,0,0
lte055.0-3.5-0.0a+0.0.BT-Settl.spec.7,5500,3.5,0,0
lte055.0-4.0-0.0a+0.0.BT-Settl.spec.7,5500,4,0,0
lte055.0-4.5-0.0a+0.0.BT-Settl.spec.7,5500,4.5,0,0
lte055.0-5.0-0.0a+0.0.BT-Settl.spec.7,5500,5,0,0
lte055.0-5.5-0.0a+0.0.BT-Settl.spec.7,5500,5.5,0,0
lte056.0-2.5-0.0a+0.0.BT-Settl.spec.7,5600,2.5,0,0
lte056.0-3.0-0.0a+0.0.BT-Settl.spec.7,5600,3,0,0
lte056.0-3.5-0.0a+0.0.BT-Settl.spec.7,5600,3.5,0,0
lte056.0-4.0-0.0a+0.0.BT-Settl.spec.7,5600,4,0,0
lte056.0-4.5-0.0a+0.0.BT-Settl.spec.7,5600,4.5,0,0
