teff,logg,mass,microTurb,composition,FeH,a_Fe,C_Fe,N_Fe,O_Fe
2600,5.0,0.0,0,st,-0.25,0.1,0.0,0.0,0.1
2600,5.0,0.0,0,st,0.0,0.0,0.0,0.0,0.0
2600,5.0,0.0,0,st,0.5,0.0,0.0,0.0,0.0
2600,5.0,0.0,0,st,0.75,0.0,0.0,0.0,0.0
2600,5.0,0.0,0,st,1.0,0.0,0.0,0.0,0.0
2600,5.0,0.0,1,an,-2.0,-0.4,0.0,0.0,-0.4
2600,5.0,0.0,1,an,-1.0,-0.4,0.0,0.0,-0.4
2600,5.0,0.0,1,an,-0.75,-0.4,0.0,0.0,-0.4
2600,5.0,0.0,1,an,-0.5,-0.4,0.0,0.0,-0.4
2600,5.0,0.0,1,an,-0.25,-0.4,0.0,0.0,-0.4
2600,5.0,0.0,2,an,-2.0,-0.4,0.0,0.0,-0.4
2600,5.0,0.0,2,an,-1.0,-0.4,0.0,0.0,-0.4
2600,5.0,0.0,2,an,-0.75,-0.4,0.0,0.0,-0.4
2600,5.0,0.0,2,an,-0.5,-0.4,0.0,0.0,-0.4
2600,5.0,0.0,2,an,-0.25,-0.4,0.0,0.0,-0.4
2600,5.5,0.0,0,an,-2.0,-0.4,0.0,0.0,-0.4
2600,5.5,0.0,0,an,-1.0,-0.4,0.0,0.0,-0.4
2600,5.5,0.0,0,an,-0.75,-0.4,0.0,0.0,-0.4
2600,5.5,0.0,0,an,-0.5,-0.4,0.0,0.0,-0.4
2600,5.5,0.0,0,an,-0.25,-0.4,0.0,0.0,-0.4
2600,5.5,0.0,0,st,-0.5,0.2,0.0,0.0,0.2
2600,5.5,0.0,0,st,-0.25,0.1,0.0,0.0,0.1
2600,5.5,0.0,0,st,0.0,0.0,0.0,0.0,0.0
2600,5.5,0.0,0,st,0.5,0.0,0.0,0.0,0.0
2600,5.5,0.0,0,st,0.75,0.0,0.0,0.0,0.0
2600,5.5,0.0,0,st,1.0,0.0,0.0,0.0,0.0
2600,5.5,0.0,1,an,-2.0,-0.4,0.0,0.0,-0.4
2600,5.5,0.0,1,an,-1.0,-0.4,0.0,0.0,-0.4
2600,5.5,0.0,1,an,-0.75,-0.4,0.0,0.0,-0.4
2600,5.5,0.0,1,an,-0.5,-0.4,0.0,0.0,-0.4
2600,5.5,0.0,1,an,-0.25,-0.4,0.0,0.0,-0.4
2600,5.5,0.0,2,an,-2.0,-0.4,0.0,0.0,-0.4
2600,5.5,0.0,2,an,-1.0,-0.4,0.0,0.0,-0.4
2600,5.5,0.0,2,an,-0.75,-0.4,0.0,0.0,-0.4
2600,5.5,0.0,2,an,-0.5,-0.4,0.0,0.0,-0.4
2600,5.5,0.0,2,an,-0.25,-0.4,0.0,0.0,-0.4
2700,3.0,0.0,0,an,-2.0,-0.4,0.0,0.0,-0.4
2700,3.0,0.0,0,an,-1.5,-0.4,0.0,0.0,-0.4
2700,3.0,0.0,0,an,-1.0,-0.4,0.0,0.0,-0.4
2700,3.0,0.0,0,an,-0.75,-0.4,0.0,0.0,-0.4
2700,3.0,0.0,0,an,-0.5,-0.4,0.0,0.0,-0.4
2700,3.0,0.0,0,an,-0.25,-0.4,0.0,0.0,-0.4
