teff,logg,Y,f_rain,kzz,FeH,CO,f_hole
300,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
300,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
300,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
300,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
300,4.0,0.28,0.0,100000.0,0.0,1.0,1.0
300,4.25,0.28,0.0,100000.0,0.0,1.0,1.0
300,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
300,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
300,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
300,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
300,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
300,5.0,0.28,0.0,100000.0,0.0,1.0,1.0
300,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
300,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
300,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
300,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
300,5.5,0.28,0.0,100000.0,0.0,1.0,1.0
325,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
325,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
325,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
325,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
325,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
325,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
325,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
325,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
325,4.0,0.28,0.0,100000.0,0.0,1.0,1.0
325,4.25,0.28,0.0,100000.0,0.0,1.0,1.0
325,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
325,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
325,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
325,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
325,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
325,5.0,0.28,0.0,100000.0,0.0,1.0,1.0
325,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
325,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
325,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
325,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
325,5.5,0.28,0.0,100000.0,0.0,1.0,1.0
350,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
350,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
350,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
350,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
350,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
350,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
350,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
350,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
350,4.0,0.28,0.0,100000.0,0.0,1.0,1.0
350,4.25,0.28,0.0,100000.0,0.0,1.0,1.0
350,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
