teff,logg,Y,f_rain,kzz,FeH,CO,f_hole
400,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
425,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
425,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
450,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
450,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
450,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
450,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
450,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
475,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
475,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
475,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
500,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
525,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
525,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
550,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
550,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
575,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
575,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
575,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
575,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
575,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
575,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
600,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
600,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
600,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
600,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
650,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
650,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
650,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
700,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
700,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
700,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
700,4.25,0.28,0.0,100000.0,0.0,1.0,1.0
700,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
700,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
700,5.5,0.28,0.0,100000.0,0.0,1.0,1.0
750,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
750,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
750,4.25,0.28,0.0,100000.0,0.0,1.0,1.0
750,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
800,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
800,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
800,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
800,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
850,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
850,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
850,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
900,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
900,5.5,0.28,0.0,100000.0,0.0,1.0,1.0
950,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
950,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
950,4.0,0.28,0.0,100000.0,0.0,1.0,1.0
1000,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
1000,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
1000,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
1000,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
1100,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
1100,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
1100,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
1100,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
1300,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
1400,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
